State,Electricity Sector,Mining and Manufacturing,Other Industries
NSW,94%,1%,5%
VIC,92%,2%,6%
QLD,87%,6%,7%
WA,57%,39%,5%
SA,85%,3%,12%
TAS,98%,1%,2%
NT,45%,52%,3%
AUS,84%,10%,6%
