Year,Black Coal,Brown Coal,Natural Gas,Renewables,Other
1994–95,59.3,20.7,8.6,9.8,1.6
1999–00,59,23.9,7.7,8.5,0.8
2004–05,55.9,23.3,10.4,8.9,1.4
2009–10,49,22.2,17.7,8.6,2.4
2014–15,42.6,20.2,21,13.5,2.7
2019–20,42.2,12.7,20.8,22.6,1.7
2020,41,12.9,20,24.4,1.7
